,user_id,prolific_id,job,assigned_condition,assigned_scenario
571,572,6730edee7604f722610a7368,product_management,2,1
572,573,66e688fac0b50215bd2af9db,product_management,0,1
573,574,612687a5a3c9d923c4050e47,product_management,1,2
575,576,660be2ca888cd313e48505fc,product_management,0,1
576,577,673a4164fae8466206e69990,product_management,1,2
579,580,675d8adc59d440f72ffd3f28,product_management,1,1
580,581,66019988a3d63339927cc80f,product_management,2,1
582,583,6054cdc28222dc1ca6f58d8c,product_management,1,2
584,585,653fc72c551b6209e0cf40e0,product_management,0,2
585,586,5f16d4bf2c8000017b20331a,product_management,1,1
586,587,6771873cc6ceded055d324ab,product_management,2,1
587,588,6776cab8c3eb0d6436f43e51,product_management,0,2
589,590,66b3bb9ebd626f70cd560744,product_management,2,2
590,591,65b85222a3269ee45054aed5,product_management,0,2
591,592,67ad0cc9f3a3feb73e22852d,product_management,1,0
592,593,6571d26dd80af4432c4f40ef,product_management,2,0
594,595,677404c2a27970e0fcd664d2,product_management,1,0
595,596,5bb2a0148f3bd70001e5633f,product_management,2,1
597,598,6118d62f57869db8218a11b0,product_management,1,0
599,600,67bde665fd6faf558cb074de,customer_experience,0,2
600,601,676f1400c5d67b8d230967a5,customer_experience,1,0
602,603,5ed590bf481c4512b168946f,customer_experience,0,0
603,604,665403f33b8b863a20aa2cd8,customer_experience,1,2
604,605,6503444cd88ba9004224b69e,customer_experience,2,0
605,606,65d863e56337aa59292ccd66,customer_experience,0,2
606,607,56db8f127dcddf000dd592af,customer_experience,1,1
607,608,5ef7204033605901ce86c0b0,customer_experience,2,1
608,609,669aaa2099ce117665d8dc0b,customer_experience,0,2
609,610,63e55bb2f8e6aec6a4031bd8,customer_experience,1,1
610,611,673cdebc9b7076ea0139df23,customer_experience,2,1
613,614,66bcf6a78ac9c3ea589aeb4d,customer_experience,2,0
614,615,673c4a90f510fd807337835a,customer_experience,0,2
616,617,674ca6e73e98a96de2cda112,customer_experience,2,2
617,618,5bbfeaeb785edb0001fac427,customer_experience,0,2
618,619,663140c398e19ff9b77d4663,customer_experience,1,0
619,620,60e840cfd4c065679727d760,customer_experience,2,0
620,621,5c4f5967aac8be0001716a65,customer_experience,0,2
621,622,6739708559bb15e60ca871ac,customer_experience,1,2
624,625,676650e22b10eda1732abf1a,customer_experience,1,2
626,627,67a95d468d14bd6324b4bbba,customer_experience,0,2
629,630,5fd5ef3cb8ec2745c10454e3,customer_experience,0,1
634,635,66954eb024a4cac04db35d5a,it,0,2
635,636,5d5e63b47bfc8400013b67dd,it,0,0
636,637,60624c1a743e95138f858c05,data_analysis,0,2
639,640,67360451448620a00803e7f5,human_resources,0,2
640,641,663d07e79756c9fe270a3948,human_resources,0,1
654,655,5f6254659ffc2528c4ff3f5d,human_resources,0,2
668,669,5dc9864276244069e9aac84c,sales,1,0
673,674,611d0c64d70a6d9fcd11440b,legal,0,2
675,676,61329a3e3f353940f7fcd042,sales,0,0
677,678,66bb613248ee71b8e9318e88,sales,0,1
678,679,5e569114eead0c04099b5d67,product_management,1,1
679,680,660ec42949f31110e4d0a467,customer_experience,0,1
688,689,65fbfac19cf696df182131f3,sales,2,1
689,690,6606e923093ba1333d58a966,sales,2,0
690,691,60ec51c51a3158a50ded8a3e,it,2,2
691,692,664b4f0017b082f48ee8a033,it,2,0
696,697,6672b4e37dbe66f2c2dc1107,sales,0,2
697,698,65ba64c07847d4c34ec00de1,sales,0,2
705,706,6729ef57b766ab96bb9f306a,legal,2,0
